word	freq
feel	217613
civil	217563
fund	216869
land	216191
ended	216006
rebels	215804
field	215735
investigation	215643
nato	215262
attention	214774
dlrs	214558
banks	214343
allow	214312
parties	214264
decided	213686
fact	213585
chance	213183
turn	212970
killing	212747
jobs	212467
worth	211570
father	211404
brought	210377
products	210337
begin	210104
needed	209802
moscow	209518
probably	209429
question	209425
tried	209104
rise	209006
project	208987
injured	208897
bad	208889
computer	208674
position	208452
robert	208094
summit	207969
asian	207965
saw	207949
meanwhile	207634
am	207586
district	207488
gaza	207333
cents	207014
opening	207001
spending	206785
especially	206659
sure	206642
involved	206596
loss	206316
evidence	205994
matter	205275
indian	205093
interview	205028
allowed	204537
australian	204208
serious	203711
tv	203710
annual	203649
road	203269
canada	203119
eastern	203091
february	202892
radio	202760
manager	202737
contract	202144
helped	201116
sides	200888
undated	200682
operations	200254
rather	200102
base	199999
poor	199586
remains	199542
paul	199541
majority	199436
short	199003
growing	198956
opened	198745
talk	198596
music	198506
ground	198188
football	198021
reach	197897
mother	197783
step	197608
player	197367
means	197333
wall	197151
labor	197124
son	197042
prison	196479
firm	196412
summer	196352
florida	195316
deputy	194617
sign	194546
hundreds	194419
singapore	194065
net	194031
joint	193819
park	193786
space	193212
bid	192633
regional	191776
event	191758
education	191530
finance	191435
spent	191364
korean	191069
palestinians	190723
difficult	190665
experts	190635
continued	190414
lives	190113
stay	189755
voters	189361
funds	189308
teams	189235
star	189133
lee	188741
needs	188479
love	188368
room	188228
officers	187803
act	187662
anything	187571
arab	187543
included	187484
f	187332
domestic	187132
forward	187078
weekend	187036
warned	186937
hand	186905
associated	186827
turkey	186817
training	186816
scored	185472
person	185386
planned	185386
similar	185333
coalition	185154
officer	185142
travel	184983
airport	184866
negotiations	184703
web	184673
inside	184537
management	184178
worked	184017
personal	183994
living	183761
king	183570
strike	183527
republicans	183486
movie	183156
title	183148
olympic	182861
costs	182667
career	182584
church	182402
forced	182388
takes	182100
charge	182089
james	181836
o	181700
college	181376
mission	181307
sources	181038
safety	180991
amid	180916
cannot	180348
appeared	180056
form	179775
shows	179659
credit	179614
single	179459
data	179411
residents	179175
network	179073
rules	178844
quoted	178840
compared	178588
themselves	178526
age	178343
measures	178271
armed	177978
phone	177776
affairs	177649
increased	177618
named	177022
immediately	176933
details	176366
everything	175724
ready	175434
independent	175383
child	175321
changes	174959
winning	174708
issued	174590
hopes	174317
bomb	174092
art	173771
raised	173723
chicago	173650
attorney	173574
either	173443
u	173084
followed	173014
victims	172894
newspapers	172399
heart	171963
believed	171890
indonesia	171733
rest	170969
operation	170875
parents	170859
charged	170076
movement	169910
paid	169736
station	169685
runs	169567
families	169498
seeking	169416
employees	169304
potential	169231
dropped	169203
brown	169007
moving	168464
sell	167677
jones	167454
stage	167299
programs	166886
intelligence	166131
performance	165911
light	165727
popular	165182
concern	165148
risk	165090
figures	165044
offered	164497
sold	164348
urged	164168
longer	164087
r	163466
concerns	163404
division	163134
break	163090
governor	163068
considered	162775
threat	162557
b	162503
authority	162434
idea	162313
build	162198
caused	162053
whole	162020
wrote	161696
champion	161583
comment	161396
construction	161343
huge	161110
claimed	161066
ii	161056
arrived	160838
ban	160751
jerusalem	160729
condition	160593
trip	160215
cause	160173
plane	159848
noted	159841
seems	159814
friends	159744
richard	159570
photo	159313
coast	159165
reform	159028
returned	158413
cities	158203
rule	158151
earnings	158071
conditions	158008
giving	157965
proposed	157912
terms	157820
wasn	157707
population	157680
tell	157626
ball	157577
particularly	157315
ties	157080
chen	156781
discuss	156721
militants	156685
response	156662
itself	156658
reason	156651
brazil	156619
taliban	156493
declined	156327
grand	156209
create	156171
heavy	155912
italian	155650
muslim	155564
access	155335
industrial	155260
view	155113
fans	155063
includes	155050
example	154831
estimated	153962
candidate	153885
focus	153827
ministers	153583
green	153446
common	153402
premier	153352
homes	152942
filed	152669
cabinet	152551
optional	152250
francisco	151917
quickly	151855
term	151689
insurance	151614
refused	151433
tournament	151220
value	151013
profit	150973
parts	150802
claims	150692
source	150569
terrorist	150527
battle	150522
expressed	150229
thailand	150022
smith	150021
competition	149558
english	149443
bt	149417
everyone	149137
saddam	149103
sea	148936
proposal	148855
events	148852
cna	148814
nyt	148749
kilometers	148717
illegal	148708
expect	148664
letter	148611
raise	148611
disease	148575
debate	148345
denied	148228
hands	148215
consumer	148180
lawyer	148157
sector	148096
someone	148040
launched	147914
candidates	147677
speech	147534
holding	147486
kept	147474
schools	147467
figure	147322
leaving	147295
camp	147017
cars	146978
couple	146786
starting	146764
analyst	146334
isn	146248
session	146052
calling	145868
certain	145670
emergency	145650
saudi	145626
arms	144467
beginning	144390
supporters	144334
flight	144323
progress	144214
feet	143992
sometimes	143936
drive	143898
finished	143709
add	143664
championship	143650
approved	143584
ordered	143509
hotel	142943
confirmed	142716
overall	142260
felt	142247
attempt	142241
williams	142221
send	141647
success	141583
zealand	141567
message	141510
supreme	141488
carried	141323
speaking	141074
currently	141010
items	141005
photos	140964
above	140882
described	140853
johnson	140737
straight	140708
terrorism	140568
commercial	140428
afternoon	140339
conflict	140337
online	140164
jan	139671
missing	139615
debt	139578
rising	139425
prevent	139418
wounded	139394
join	139339
telephone	139316
remained	139166
inflation	139116
address	138986
ways	138850
goals	138533
hamas	138507
sense	138418
stand	138352
mayor	138321
passed	138316
suspected	138200
religious	138180
peter	138002
alleged	137994
ethnic	137949
plant	137948
currency	137908
effect	137886
review	137623
throughout	137511
aimed	137461
paper	137148
institute	137056
suicide	136793
experience	136657
knew	136525
arafat	136335
goes	136215
egypt	136159
anyone	136129
protest	136071
yuan	136011
crime	135931
cash	135701
perhaps	135563
protect	135537
lawmakers	135534
works	135438
drop	135398
la	135196
heard	135132
pass	135106
mostly	135084
search	135018
finally	134894
broke	134803
thomas	134495
consider	134408
prosecutors	134162
built	133662
natural	133660
published	133649
cuts	133375
weather	133072
tough	132469
fired	132407
leadership	132223
river	132179
present	132051
decades	132005
criminal	131862
addition	131827
whom	131825
ask	131734
fuel	131712
martin	131658
patients	131546
changed	131319
securities	131308
numbers	131237
rebel	131191
bosnian	131123
created	131121
receive	131092
ireland	130887
lawyers	130866
confidence	130718
video	130635
significant	130579
guard	130534
challenge	130082
lebanon	130020
afghan	129809
developing	129546
impact	129488
conservative	129485
positive	129338
amount	129150
treatment	129141
sanctions	129130
actually	129079
al	128996
society	128733
doctors	128582
gone	128500
avoid	128425
income	128242
improve	128157
gets	128142
seemed	128122
c	128115
drugs	128040
vietnam	127778
target	127744
jewish	127735
democracy	127730
unit	127569
malaysia	127417
read	127260
arrest	127187
worst	127159
seek	127078
survey	127038
fear	126925
hearing	126819
village	126739
fifth	126634
mass	126586
appeal	126565
bosnia	126476
murder	126376
bit	126328
mike	126322
separate	126215
corporate	125944
serve	125738
crimes	125475
material	125428
century	125406
spokeswoman	125272
diplomatic	125115
additional	125062
st	125052
powerful	124947
concerned	124929
simply	124718
minute	124585
clients	146767
date	124331
selling	124304
sri	124281
revenue	124028
alliance	123998
spanish	123962
l	123750
reduce	123652
independence	123620
joined	123444
damage	123318
track	123313
equipment	123246
politics	123167
winner	123121
hour	123118
opportunity	122957
standard	122908
projects	122902
levels	122899
planning	122871
tom	122860
protection	122650
legislation	122584
account	122541
millions	122441
communist	122401
dec	122369
bay	122366
served	122120
exports	121866
sale	121833
polls	121823
various	121812
contact	121759
jordan	121713
beyond	121673
customers	121650
pounds	121591
giant	121511
provided	121497
bombing	121482
activities	121476
businesses	121463
airlines	121441
mm	121044
cox	120811
boost	120549
traditional	120534
mainland	120345
systems	119934
pacific	119928
suggested	119750
maybe	119737
lack	119693
moment	119646
rally	119510
husband	119501
necessary	119403
losing	119243
mccain	119170
carry	119099
laws	119086
happened	118962
claim	118864
kids	118806
greater	118742
pc	118716
beach	118626
individual	118558
cover	118549
gulf	118478
fed	118467
resolution	118390
range	118302
losses	118242
operating	118207
incident	117815
showing	117811
houston	117742
highest	117405
editor	117310
bureau	117275
settlement	117262
rival	117233
aircraft	117232
product	117052
votes	117033
rejected	116885
canadian	116838
picture	116774
poll	116739
books	116534
below	116461
governments	116360
complete	116127
looked	115909
ambassador	115788
policies	115781
strategy	115733
lines	115685
daughter	115644
watch	115623
practice	115578
seconds	115571
professor	115539
responsible	115502
faces	115298
serb	115248
mean	115235
deep	115206
panel	115103
signs	115025
measure	115017
elected	114928
suffered	114842
soccer	114825
william	114802
refugees	114688
blood	114543
direct	114490
crowd	114482
shooting	114374
friend	114372
baseball	114347
property	114328
embassy	114236
blue	114171
double	113996
save	113978
bloomberg	113865
finish	113842
citizens	113810
museum	113804
representatives	113686
p	113560
easy	113374
bob	113372
responsibility	113345
documents	113342
shanghai	113300
seem	113294
editors	113172
bonds	113106
madrid	113059
hall	113050
microsoft	113038
rice	113014
sweden	112980
science	112927
twice	112911
seats	112718
environmental	112653
train	112431
headquarters	112339
agencies	112318
spoke	112250
sites	112232
pretty	112198
sun	112186
push	112142
designed	112139
cancer	112118
reserve	112039
true	111974
carrying	111938
turkish	111914
ensure	111869
resources	111726
housing	111707
civilians	111615
largely	111430
declared	111382
cross	111310
fresh	111284
bodies	111040
argentina	111007
relationship	110935
kim	110814
v	110765
limited	110703
kosovo	110687
van	110674
quite	110637
dow	110479
happy	110328
vehicles	110257
talking	110147
usually	110113
comments	110012
treaty	109868
constitution	109803
else	109677
charles	109549
gained	109455
consumers	109448
territory	109416
executives	109387
package	109343
records	109271
spend	109188
streets	109139
prepared	109124
accept	109080
relief	109031
approach	108915
protests	108913
zone	108903
freedom	108827
bond	108671
sought	108550
assembly	108549
evening	108545
benefits	108515
software	108416
committed	108392
student	108123
written	107933
host	107926
culture	107887
commander	107875
status	107802
lose	107512
apparently	107446
entire	107342
ruled	107277
boy	107254
traffic	107253
understand	107214
warning	107177
magazine	107142
corruption	106920
swiss	106748
port	106671
scene	106614
critics	106591
interior	106471
required	108780
remaining	106241
couldn	106210
stadium	105974
environment	105959
congressional	105943
rain	105763
tests	105684
steve	105624
regime	105474
launch	105404
eds	105348
contributed	105336
ran	105322
supply	105309
iranian	105200
ceremony	105165
wrong	105118
philippines	105075
soviet	105068
promised	105048
decade	105048
request	104855
massive	104700
deaths	104663
stopped	104624
wide	104608
immediate	104539
certainly	104513
basis	104441
struck	104394
draw	104380
nearby	104347
w	104203
threatened	104154
passengers	104112
fair	104065
alone	104005
deficit	103821
unless	103745
quality	103702
ability	103688
agree	103491
eventually	103423
approval	103404
looks	103399
secret	103395
square	103322
jackson	103301
loans	103299
brother	103279
steps	103223
headed	103195
jersey	103153
guy	103041
names	103013
spring	102933
announcement	102906
successful	102759
penalty	102750
fears	102562
wins	102402
georgia	102322
word	102118
rescue	102100
injury	101947
bought	101892
appear	101776
decline	101758
syria	101731
e	101706
gain	101675
floor	101646
gains	101646
buying	101558
hussein	101389
decide	101376
version	101367
develop	101316
spot	101292
jose	101116
matches	101115
spread	100984
recovery	100967
offers	100903
hurt	100887
critical	100868
interests	100868
hill	100867
facing	100744
class	100665
crash	100570
investigators	100532
gives	100515
serbs	100423
christmas	100274
ford	100025
willing	99899
plays	99805
presence	99802
safe	99758
advance	99540
please	99469
choice	99396
scott	99373
stars	99355
seattle	99298
jim	99267
caught	99208
detroit	99093
switzerland	99062
born	98983
kill	98963
kansas	98963
overseas	98916
foundation	98851
journalists	98747
bus	98540
convicted	98452
banking	98451
meetings	98436
scientists	98428
firms	98351
category	98278
store	98269
related	98264
fine	98199
identified	98165
draft	98100
increasing	98058
dispute	98037
increasingly	97999
dozens	97995
clearly	97973
heads	97956
champions	97954
weekly	97860
euros	97848
crew	97753
mind	97721
seoul	97587
produce	97354
note	97325
hot	97124
davis	97097
tennis	97063
wouldn	97031
el	97012
dozen	96944
christian	96922
developed	96913
features	96729
golf	96585
waiting	96539
assets	96523
profits	96517
cuba	96462
happen	96389
places	96323
organizations	96293
produced	96272
arizona	96055
winter	96009
criticism	95994
nor	95982
regular	95946
missile	95936
cold	95844
appears	95843
thai	95802
agents	95764
forecast	95739
assistance	95728
helping	95679
failure	95640
orders	95542
offering	95446
adds	95420
taxes	95365
goods	95279
table	95228
attend	95223
voted	95202
sex	95117
miami	95008
hollywood	94969
knows	94841
continues	94771
allegations	94713
standing	94682
grew	94644
kennedy	94566
stores	94550
communications	94474
partly	94340
fbi	94197
yards	94155
language	94153
crude	94123
previously	94079
strip	94045
holiday	94003
netherlands	93967
assistant	93683
putting	93540
pakistani	93476
accident	93378
czech	93372
civilian	93291
delegation	93206
greece	93130
philadelphia	93125
trust	92966
nigeria	92922
writer	92765
driver	92719
sound	92693
completed	92650
original	92644
terror	92631
possibility	92627
check	92488
legislative	92458
haven	92446
zimbabwe	92445
respect	92419
fully	92400
owner	92355
chris	92332
blair	92317
girl	92109
allies	92091
treasury	92072
meters	92046
slightly	92042
tony	91978
suspects	91863
voting	91789
guilty	91785
climate	91751
abu	91746
primary	91737
offensive	91727
becoming	91726
olympics	91725
rock	91428
lanka	91253
captain	91234
pick	91213
sharon	91167
voice	91017
heat	90952
advantage	90936
defeat	90933
tehran	90843
ship	90821
standards	90764
airline	90750
blamed	90572
fiscal	90566
remarks	90525
hear	90521
closing	90511
southeast	90507
upon	90505
driving	90340
established	90327
joe	90272
berlin	90149
innings	89882
stood	89824
pulled	89800
slow	89798
partner	89743
initial	89724
reforms	89629
cultural	89615
widely	89608
storm	89488
austria	89415
answer	89404
unemployment	89394
houses	89374
benefit	89304
immigration	89277
extra	89273
rich	89237
fast	89200
urgent	89198
subject	89144
setting	89050
coverage	89034
occurred	88897
representative	88781
hits	88752
missed	88735
follow	88703
sept	88681
farmers	88631
studies	88592
ending	88587
partners	88582
speed	88564
poland	88559
mainly	88542
believes	88337
promote	88280
louis	88211
politicians	88046
fellow	87948
cloudy	87890
futures	87857
smaller	87846
opinion	87742
carolina	87626
dutch	87592
vehicle	87558
flights	87543
none	87530
article	87492
navy	87476
insisted	87405
wang	87334
score	87279
allowing	87231
admitted	87231
god	87226
ali	87209
basketball	87153
ones	87090
pentagon	87050
trouble	86960
demands	86884
shiite	86799
guys	86764
entertainment	86758
injuries	86746
retired	86729
lake	86722
holds	86648
mexican	86554
maintain	86458
opposed	86295
cast	86269
highly	86197
yeltsin	86178
feature	86174
frank	86161
modern	86052
clr	86035
accounts	85956
moves	85919
long-term	85864
nd	85822
determine	85789
ukraine	85738
k	85726
virginia	85655
jail	85548
trim	85546
pictures	85545
placed	85461
stake	85424
blast	85350
prisoners	85253
parliamentary	85204
page	85148
neither	85091
size	85091
influence	85039
suspended	85014
aids	85011
royal	84892
block	84845
shortly	84813
latin	84810
internal	84692
actions	84666
fax	84602
affected	84538
jakarta	84449
managed	84439
catholic	84400
brussels	84343
colorado	84331
speak	84280
considering	84256
philippine	84194
fighters	84090
accord	84061
activity	83975
keeping	83951
stability	83889
purchase	83888
expectations	83822
listed	83788
detained	83698
falling	83594
card	83391
particular	83380
sexual	83362
shown	83307
closer	83206
seized	83093
conducted	83070
suspect	83039
worldwide	82953
bin	82932
normal	82809
anniversary	82795
jury	82714
faced	82696
dangerous	82693
reasons	82685
sydney	82657
meant	82613
continuing	82564
minority	82483
pace	82426
grow	82371
personnel	82348
witnesses	82296
effective	82290
serving	82286
solution	82275
senator	82262
task	82245
linked	82228
image	82192
learned	82138
rome	82122
mountain	82116
kenya	82046
graphics	81928
directly	81877
explosion	81873
professional	81828
powell	81827
hoped	81725
complex	81708
finding	81691
posted	81688
buildings	81626
yesterday	81625
fox	81592
degrees	81592
myanmar	81525
door	81440
arabia	81423
earned	81421
bringing	81410
commitment	81404
learn	81273
colombia	81153
agent	81058
stations	81045
involving	80994
offices	80927
bowl	80810
owners	80762
toll	80742
estate	80675
dialogue	80658
wait	80639
tourists	80635
visited	80583
wu	80554
basic	80514
egyptian	80500
marketing	80497
visitors	80479
championships	80469
require	80431
shots	80392
gore	80360
ends	80338
onto	80234
woods	80108
plants	80095
putin	80083
pope	80049
entered	80030
indonesian	79964
federation	79959
lived	79942
raising	79919
oct	79864
tons	79808
institutions	79771
attended	79755
valley	79741
determined	79729
decisions	79713
auto	79687
ice	79661
commerce	79650
seat	79583
cable	79544
activists	79469
baby	79444
visiting	79439
overnight	79413
export	79388
supplies	79370
acknowledged	79367
researchers	79354
protesters	79316
volume	79300
asking	79252
rn	79235
delay	79226
criticized	79204
begins	79198
commissioner	79195
expects	79134
model	79100
contracts	79098
author	79032
al-qaida	78981
positions	78929
sixth	78922
hoping	78843
larger	78810
greek	78803
providing	78792
allegedly	78788
thinking	78751
statistics	78737
reading	78513
update	78401
bilateral	78386
toronto	78386
backed	78325
everybody	78219
combat	78096
advanced	78066
abuse	78021
sudan	77810
audience	77793
percentage	77760
leads	77760
strategic	77742
units	77703
venture	77688
tourism	77580
technical	77518
sort	77421
speaker	77382
islands	77379
sending	77332
dallas	77292
belgium	77249
steel	77245
violent	77209
nature	77195
eyes	77133
loan	77027
except	76934
doubt	76860
capacity	76860
code	76803
enter	76756
active	76697
prosecutor	76647
seriously	76622
marks	76618
bottom	76589
traded	76560
enforcement	76494
sentenced	76493
supported	76481
croatia	76476
turning	76370
generally	76344
edt	76322
box	76300
sentence	76238
transport	76131
captured	76051
netanyahu	76040
wind	76021
reportedly	76004
pushed	75984
kuwait	75965
girls	75925
aren	75796
bangkok	75768
tied	75743
irish	75728
referring	75721
older	75616
forum	75615
watching	75607
section	75600
disaster	75582
whatever	75554
suit	75512
veteran	75510
acting	75439
humanitarian	75405
chemical	75388
silver	75388
manila	75346
plus	75301
attacked	75266
replace	75241
feeling	75209
ohio	75196
remember	75099
opponents	75093
dealers	75083
discovered	75011
era	74851
notes	74748
presidency	74739
combined	74700
agenda	74668
scores	74666
owned	74655
paying	74587
intended	74584
balance	74570
globe	74561
specific	74537
destroyed	74503
gun	74441
milan	74392
cairo	74347
command	74291
strength	74288
transportation	74276
militant	74264
drew	74261
prince	74243
repeatedly	74241
leaves	74234
usa	74143
sport	74133
soldier	74100
festival	74096
starts	74088
clean	74040
views	73995
maker	73990
agriculture	73962
row	73959
stephen	73846
simple	73807
kabul	73755
scandal	73638
materials	73636
brief	73631
terrorists	73617
historic	73599
defence	73538
reduced	73495
truck	73442
leg	73386
sets	73332
award	73299
expand	73259
resume	73256
stressed	73168
favor	73051
banned	72919
movies	72911
muslims	72854
sharp	72817
gay	72745
walk	72745
cell	72717
quick	72706
anonymity	72492
graphic	86047
surprise	72422
style	72358
hasn	72346
doctor	72268
argued	72218
farm	72202
films	72155
immigrants	72122
improved	72065
presented	72056
bills	72051
fraud	72004
mixed	72002
indicated	72000
inches	71964
abbas	71907
israelis	71898
difference	71842
citing	71833
shut	71806
advertising	71795
peaceful	71780
miller	71752
constitutional	71697
monetary	71654
unable	71640
yes	71638
rare	71618
follows	71599
chances	71534
retail	71507
facilities	71500
cricket	71479
imports	71464
relatively	71462

broken	71369
powers	71349
focused	71331
heavily	71313
democrat	71293
rural	71231
funding	71229
pledged	71211
convention	71183
demanded	71102
